time,gFx,gFy,gFz,TgF
389.68156798,-0.1846,0.8672,0.3078,0.928
390.681829252,-0.2442,0.8891,0.2562,0.947
391.682091053,-0.0402,0.6474,0.3768,0.737
392.682512114,-0.0996,1.0462,0.4952,1.149
393.682745554,-0.0935,0.8964,0.2903,0.935
394.683049998,-0.2062,0.9828,0.2310,1.020
395.683334544,-0.1243,0.8752,0.4103,0.962
396.683719921,-0.0623,0.8256,0.5903,1.004
397.684250439,-0.1218,1.0975,0.7034,1.296
398.684463289,-0.0795,0.7652,0.4179,0.863
399.68464318,-0.0301,0.9453,0.5947,1.104
400.685004631,-0.1058,0.8740,0.5638,1.033
401.68885892,-0.0308,1.0321,0.3299,1.072
402.685386834,-0.0407,0.8816,0.4992,1.001
403.685539707,-0.1046,0.8355,0.6235,1.035
404.686106277,-0.0818,0.7938,0.2993,0.840
405.686193843,-0.0341,0.9858,0.5500,1.116
406.686508052,0.0184,0.8995,0.6533,1.098
407.6866842,0.0218,0.8704,0.5112,0.996
408.686856604,-0.0270,0.8010,0.4978,0.930
409.687258949,0.1165,0.9919,0.5247,1.115
410.687399167,0.0941,0.9670,0.5342,1.095
411.687613889,0.1675,0.7331,0.3672,0.823
412.687917113,-0.0914,0.8949,0.4959,1.014
413.687993366,0.0824,0.8688,0.7303,1.124
414.688195068,0.0074,0.7083,0.3129,0.762
415.697101929,0.0138,0.8671,0.6019,1.042
416.688658448,-0.1090,0.7748,0.3259,0.836
417.688787232,0.0116,0.8757,0.5244,1.007
418.688940838,-0.0336,0.8687,0.4340,0.959
419.689182009,-0.0071,0.8454,0.4848,0.961
420.689710126,-0.0340,0.8864,0.4509,0.982
421.689712649,-0.0178,0.8449,0.5082,0.973
422.689868696,-0.0388,0.8620,0.4619,0.966
423.689968754,-0.0771,1.0588,0.6568,1.235
424.690340499,-0.1353,0.8844,0.6198,1.076
425.690421717,-0.0012,0.8410,0.4931,0.962
426.690776169,0.0973,0.8414,0.5074,0.974
427.690914475,0.0347,0.8734,0.5975,1.045
428.691289638,-0.0042,0.8086,0.6351,1.014
429.703597744,0.0151,0.8367,0.5603,0.994
430.691719652,-0.0297,0.8184,0.4534,0.923
431.691945849,-0.0200,0.8194,0.4193,0.908
432.692178109,0.0052,0.9328,0.5162,1.053
433.692437834,-0.0592,0.8982,0.5016,1.018
434.692721648,-0.0422,0.8410,0.4957,0.964
435.69302125,-0.0133,0.9065,0.5102,1.027
436.693378103,-0.1279,0.8885,0.5214,1.026
437.693669973,-0.0266,0.9010,0.4645,1.001
438.693898001,-0.0472,0.9180,0.4094,0.994
439.694107393,-0.0617,0.8352,0.4948,0.960
440.69859364,0.0467,0.9074,0.5231,1.035
441.696329765,-0.0320,0.9242,0.6012,1.090
442.694913506,-0.0347,0.8855,0.5338,1.021
443.695120456,0.1180,0.7966,0.5930,0.986
444.695400608,-0.0148,0.8664,0.5066,0.991
445.695702488,0.0316,0.8713,0.5542,1.019
446.69596555,0.0540,0.8799,0.6875,1.104
447.696411026,0.1034,0.7697,0.6127,0.975
448.696623388,0.0052,0.8269,0.5521,0.981
449.696791439,0.0386,0.8216,0.6208,1.017
450.697086036,0.0498,0.7992,0.6121,0.994
451.697284523,0.0066,0.8462,0.6538,1.056
452.697474058,-0.0012,0.8712,0.4876,0.985
453.697670225,-0.0349,0.8922,0.4816,1.002
454.697925312,-0.0309,0.8903,0.5001,1.009
455.699628478,-0.0354,0.8741,0.4774,0.984
456.712843933,-0.0320,0.8917,0.4797,1.000
457.698613831,-0.0339,0.8907,0.4710,0.995
458.698786316,-0.0275,0.8961,0.4923,1.010
459.699385397,-0.0427,0.8878,0.4983,1.006
460.699716127,-0.0344,0.8986,0.5026,1.017
461.70009011,-0.0315,0.8995,0.4869,1.010
462.700595807,-0.0393,0.8844,0.4808,0.994
463.700767276,-0.0393,0.8790,0.4789,0.989
464.700981469,-0.0451,0.8819,0.4886,0.996
465.701227604,-0.0524,0.8722,0.4882,0.988
466.701382919,-0.0437,0.8824,0.4744,0.990
467.706203964,-0.0237,0.8882,0.4661,0.990
468.703053655,-0.0222,0.9098,0.5025,1.027
469.701959499,-0.0412,0.9112,0.4854,1.020
