n, dy(mm), F(kN)
653,     1.132586,     1.723480
654,     1.136678,     1.720130
655,     1.139746,     1.718120
656,     1.144179,     1.716100
657,     1.147929,     1.712750
658,     1.151679,     1.710060
659,     1.153383,     1.708720
660,     1.159520,     1.706710
661,     1.162588,     1.704020
662,     1.164975,     1.701340
663,     1.169067,     1.700000
664,     1.172475,     1.701340
665,     1.176567,     1.693950
666,     1.180998,     1.690600
667,     1.183386,     1.689260
668,     1.187136,     1.687910
669,     1.190545,     1.685230
670,     1.194637,     1.682550
671,     1.197023,     1.680530
672,     1.202478,     1.678520
673,     1.205546,     1.674490
674,     1.209467,     1.672480
675,     1.212877,     1.671140
676,     1.217137,     1.669790
677,     1.220547,     1.663750
678,     1.223957,     1.661070
679,     1.227366,     1.660400
680,     1.229923,     1.659730
681,     1.234185,     1.653690
682,     1.236742,     1.651670
683,     1.241003,     1.651670
684,     1.244413,     1.649660
685,     1.249527,     1.644290
686,     1.252084,     1.641610
687,     1.256346,     1.640260
688,     1.260607,     1.637580
689,     1.262313,     1.634220
690,     1.266573,     1.632210
691,     1.269983,     1.630200
692,     1.274244,     1.628180
693,     1.277654,     1.623480
694,     1.281916,     1.618790
695,     1.284473,     1.618120
696,     1.287029,     1.618790
697,     1.292996,     1.614090
698,     1.296406,     1.609390
699,     1.298962,     1.608050
700,     1.303224,     1.606040
701,     1.307486,     1.602680
702,     1.309191,     1.600000
703,     1.313452,     1.597980
704,     1.316862,     1.595970
705,     1.321124,     1.591940
706,     1.325384,     1.587910
707,     1.327942,     1.585900
708,     1.331351,     1.583890
709,     1.336465,     1.580530
710,     1.339875,     1.576510
711,     1.343284,     1.575160
712,     1.347546,     1.572480
713,     1.350955,     1.567780
714,     1.355217,     1.565100
715,     1.358626,     1.563080
716,     1.361183,     1.560400
717,     1.365445,     1.557710
718,     1.368854,     1.553690
719,     1.373116,     1.550330
720,     1.375673,     1.548990
721,     1.379083,     1.545630
722,     1.383344,     1.542280
723,     1.385901,     1.540260
724,     1.391868,     1.535570
725,     1.393572,     1.532210
726,     1.398686,     1.527510
727,     1.402095,     1.526840
728,     1.407209,     1.521470
729,     1.411471,     1.516100
730,     1.414028,     1.512080
731,     1.417438,     1.508720
732,     1.422551,     1.502010
733,     1.426813,     1.489930
734,     1.432780,     1.465770
735,     4.831051,     0.012080
736,     4.415110,     0.012080
737,     4.447499,     0.011400
738,     4.452613,     0.010730
739,     4.456022,     0.010730
740,     4.462841,     0.010460
741,     4.467955,     0.010200
742,     4.473069,     0.010200
743,     4.478184,     0.010200
744,     4.481592,     0.010200
745,     4.486706,     0.009930
746,     4.490117,     0.010200
747,     4.495231,     0.010060
748,     4.496935,     0.010200
749,     4.496935,     0.010060
750,     4.498640,     0.010060
751,     4.498640,     0.010060
752,     4.498640,     0.010060
753,     4.498640,     0.010060
754,     4.500344,     0.010060
755,     4.500344,     0.010060
756,     4.500344,     0.010060
757,     4.500344,     0.009930
758,     4.500344,     0.010060
759,     4.500344,     0.009930
760,     4.502049,     0.009930
